ticker,trade_date,open,high,low,close,adj_close,volume,day_change,day_change_pct,prev_close_change,prev_close_change_pct
^N225,2025-06-16,38056.8594,38342.5195,38055.5195,38311.3281,38311.3281,104700000,254.4688,0.668654,,
^N225,2025-06-17,38366.6797,38581.25,38333.3516,38536.7383,38536.7383,103600000,170.0586,0.443246,225.4102,0.588364
^N225,2025-06-18,38364.1602,38885.1484,38364.1602,38885.1484,38885.1484,110000000,520.9883,1.358008,348.4102,0.904099
^N225,2025-06-19,38858.5195,38870.5508,38488.3398,38488.3398,38488.3398,89300000,-370.1797,-0.952635,-396.8086,-1.020463
^N225,2025-06-20,38472.25,38646.1602,38362.5391,38403.2305,38403.2305,183900000,-69.0195,-0.179401,-85.1094,-0.22113
^N225,2025-06-23,38260.6914,38368.2188,38026.3203,38354.0898,38354.0898,95800000,93.3984,0.244111,-49.1406,-0.12796
^N225,2025-06-24,38779.1797,38990.1094,38665.6094,38790.5586,38790.5586,100800000,11.3789,0.029343,436.4688,1.137998
^N225,2025-06-25,38904.1797,38944.7695,38711.1094,38942.0703,38942.0703,102900000,37.8906,0.097395,151.5117,0.390589
^N225,2025-06-26,39072.1406,39615.5898,39056.1406,39584.5781,39584.5781,123600000,512.4375,1.311516,642.5078,1.649907
^N225,2025-06-27,39866.3594,40267.8398,39847.3086,40150.7891,40150.7891,156100000,284.4297,0.713458,566.2109,1.430383
^N225,2025-06-30,40550.7891,40852.5391,40322.5391,40487.3906,40487.3906,143900000,-63.3984,-0.156343,336.6016,0.838344
^N225,2025-07-01,40340.6406,40345.8711,39885.3789,39986.3281,39986.3281,124000000,-354.3125,-0.878302,-501.0625,-1.237577
^N225,2025-07-02,39631.1719,39943.6211,39444.6992,39762.4805,39762.4805,127600000,131.3086,0.331327,-223.8477,-0.55981
^N225,2025-07-03,39796.75,39865.8906,39667.8203,39785.8984,39785.8984,135400000,-10.8516,-0.027267,23.418,0.058895
^N225,2025-07-04,39994.6406,40012.6602,39693.3984,39810.8789,39810.8789,96600000,-183.7617,-0.459466,24.9805,0.062787
^N225,2025-07-07,39729.5586,39829.3789,39524.25,39587.6797,39587.6797,93400000,-141.8789,-0.357112,-223.1992,-0.560649
1306.T,2025-06-16,2946.0,2958.0,2936.0,2950.0,2880.2041,789030,4.0,0.135777,,
1306.T,2025-06-17,2951.5,2960.5,2947.5,2954.5,2884.5977,993410,3.0,0.101643,4.5,0.152542
1306.T,2025-06-18,2948.0,2984.5,2947.0,2983.5,2912.9116,962290,35.5,1.204206,29.0,0.981554
1306.T,2025-06-19,2979.0,2981.0,2958.5,2963.5,2893.3848,1146710,-15.5,-0.520309,-20.0,-0.670354
1306.T,2025-06-20,2960.0,2968.5,2944.0,2944.0,2874.3462,581630,-16.0,-0.540541,-19.5,-0.658006
1306.T,2025-06-23,2934.5,2934.5,2918.0,2931.5,2862.1418,1124970,-3.0,-0.102232,-12.5,-0.424592
1306.T,2025-06-24,2963.0,2972.5,2947.0,2951.5,2881.6687,914790,-11.5,-0.38812,20.0,0.682245
1306.T,2025-06-25,2962.5,2965.0,2941.0,2953.5,2883.6213,847760,-9.0,-0.303797,2.0,0.067762
1306.T,2025-06-26,2956.5,2979.5,2956.5,2978.5,2908.03,1372640,22.0,0.744123,25.0,0.846453
1306.T,2025-06-27,3000.0,3025.0,2998.0,3021.0,2949.5244,1606340,21.0,0.7,42.5,1.426893
1306.T,2025-06-30,3047.0,3051.0,3024.0,3030.0,2958.3115,1552340,-17.0,-0.557926,9.0,0.297915
1306.T,2025-07-01,3027.0,3029.0,3004.0,3009.0,2937.8083,1424140,-18.0,-0.594648,-21.0,-0.693069
1306.T,2025-07-02,2993.0,3015.0,2989.5,3000.0,2929.0212,1028780,7.0,0.233879,-9.0,-0.299103
1306.T,2025-07-03,3000.0,3006.0,2993.0,3004.0,2932.9265,1022850,4.0,0.133333,4.0,0.133333
1306.T,2025-07-04,3023.0,3024.0,2997.5,3008.0,2936.832,1543540,-15.0,-0.496196,4.0,0.133156
1306.T,2025-07-07,3006.0,3009.0,2982.0,2985.0,2914.3762,1925620,-21.0,-0.698603,-23.0,-0.764628
